                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.7384,                0.19701,                0.11948,                0.63027,                0.98353,                0.99372,                0.92308,                0.96268,                0.70909,                0.99372,                0.92308,                0.99132,                0.94783,                0.94354,                0.34499,                0.11115,                0.54559,                 1.0181,              0.0011024,              0.0011024,              0.0011024
                     70,                0.76527,                0.19249,                0.15328,                0.62688,                  0.995,                      1,                0.91722,                0.96628,                0.73778,                0.95667,                      1,                0.99389,                0.96316,                0.95327,                 0.3176,                0.22449,                0.57196,                 1.0322,              0.0010892,              0.0010892,              0.0010892
                     71,                0.76622,                0.39429,                 0.1366,                0.64486,                 1.0139,                0.94677,                0.96154,                0.98333,                0.70125,                0.98563,                      1,                  0.995,                0.95604,                 0.9347,                0.35582,                0.13981,                0.60694,                 1.0309,               0.001076,               0.001076,               0.001076
                     72,                0.78983,                0.21082,                0.20576,                0.64597,                 1.0299,                0.92094,                0.96154,                0.97437,                0.74656,                0.95815,                      1,                0.99389,                0.94562,                0.86095,                0.36595,                0.10386,                0.54242,                0.96418,              0.0010628,              0.0010628,              0.0010628
                     73,                0.76236,                0.20343,                0.12973,                0.66143,                0.99784,                0.96148,                   0.96,                0.98346,                0.70533,                      1,                0.99789,                  0.995,                0.94056,                0.96919,                0.39647,                 0.0865,                0.55917,                 1.0535,              0.0010496,              0.0010496,              0.0010496
                     74,                0.70732,                0.17377,                0.13941,                0.60819,                0.96765,                      1,                0.94736,                0.98125,                0.68185,                      1,                0.95785,                0.99389,                0.94712,                0.99285,                0.35098,                0.07268,                0.60617,                 1.0437,              0.0010364,              0.0010364,              0.0010364
                     75,                0.73387,                 0.1591,                0.16026,                 0.6181,                0.97638,                0.96137,                0.95734,                0.98006,                 0.7195,                      1,                 0.9951,                  0.995,                0.96537,                0.93798,                0.29195,                0.08439,                0.54554,                 1.0154,              0.0010232,              0.0010232,              0.0010232
                     76,                0.65733,                0.16524,                0.13268,                0.57797,                0.94595,                0.99429,                0.92308,                 0.9606,                0.69839,                0.99429,                0.92308,                0.98312,                0.95866,                0.93345,                 0.3067,                 0.1432,                0.59827,                      1,                0.00101,                0.00101,                0.00101
                     77,                0.68087,                0.17267,                0.13841,                0.57503,                0.95607,                0.95189,                0.92308,                0.95109,                0.71946,                0.95189,                0.92308,                0.97951,                0.89013,                0.91045,                0.43204,                0.08049,                0.62712,                 1.0191,              0.0009968,              0.0009968,              0.0009968
                     78,                0.72029,                0.15871,                 0.1054,                0.57679,                 0.9645,                0.99045,                0.96154,                0.96848,                0.72506,                0.99045,                0.96154,                  0.991,                0.96244,                0.99033,                0.31792,                0.05119,                0.58377,                 1.0256,              0.0009836,              0.0009836,              0.0009836
                     79,                0.67301,                0.15056,                0.09683,                0.56759,                0.93772,                0.99715,                0.96154,                0.97647,                0.72616,                0.99507,                      1,                  0.995,                0.93795,                0.93953,                0.39912,                0.06548,                0.52825,                 1.0531,              0.0009704,              0.0009704,              0.0009704
                     80,                0.67118,                0.17122,                0.10877,                   0.56,                0.95345,                      1,                0.92173,                0.96674,                0.74392,                0.95306,                      1,                0.99241,                0.96554,                0.98453,                0.32471,                0.06638,                0.56885,                 1.0708,              0.0009572,              0.0009572,              0.0009572
                     81,                0.66696,                 0.1416,                  0.085,                0.55415,                0.95082,                0.91295,                0.92308,                  0.955,                0.70593,                0.86419,                      1,                0.97864,                0.92086,                 0.9816,                0.39547,                0.08704,                0.62958,                 1.0659,               0.000944,               0.000944,               0.000944
                     82,                0.64895,                0.15718,                0.09602,                0.56187,                0.94036,                0.96121,                0.95338,                0.96635,                0.70999,                0.96121,                0.95338,                0.98946,                0.94427,                0.95784,                0.37179,                0.11376,                0.58628,                 1.0478,              0.0009308,              0.0009308,              0.0009308
                     83,                0.69049,                0.16514,                0.11441,                0.57728,                0.96712,                0.97785,                0.92308,                0.97462,                0.74344,                0.97785,                0.92308,                0.98804,                0.90282,                0.95371,                0.41589,                0.17357,                0.58545,                 1.0391,              0.0009176,              0.0009176,              0.0009176
                     84,                0.63673,                0.12704,                0.09194,                0.56528,                0.95317,                 0.9148,                0.96154,                0.96341,                0.75152,                 0.9148,                0.96154,                0.98345,                0.96809,                0.89102,                0.33556,                0.20767,                0.55607,                0.99503,              0.0009044,              0.0009044,              0.0009044
                     85,                0.64107,                0.15289,                0.10342,                0.53501,                0.96176,                0.97595,                0.92308,                0.96455,                0.73616,                0.97595,                0.92308,                0.98464,                0.97611,                0.91614,                0.29663,                0.10578,                0.55915,                 1.0145,              0.0008912,              0.0008912,              0.0008912
                     86,                0.68212,                0.15832,                0.12732,                 0.5935,                0.98034,                      1,                0.95995,                   0.98,                0.70127,                      1,                0.95995,                 0.9919,                0.97741,                0.94881,                0.30575,                0.07946,                 0.5451,                 1.0773,               0.000878,               0.000878,               0.000878
                     87,                0.64048,                0.15463,                0.12704,                0.54874,                 0.9644,                      1,                0.92181,                0.96652,                0.71248,                 0.9983,                0.96154,                0.98864,                 0.9573,                0.94278,                0.40374,                0.07299,                0.55978,                 1.0903,              0.0008648,              0.0008648,              0.0008648
                     88,                0.65773,                0.15096,                0.11325,                 0.5726,                0.96447,                0.99101,                0.88462,                0.95891,                0.70455,                0.94387,                0.96154,                0.98486,                0.78496,                0.98855,                0.65613,                0.08479,                 0.6014,                 1.0762,              0.0008516,              0.0008516,              0.0008516
                     89,                0.62036,                0.15171,                0.08733,                0.53765,                0.95293,                0.92286,                0.92041,                0.94192,                0.67478,                0.92421,                0.93836,                0.97146,                0.93608,                0.98499,                0.35238,                0.08706,                0.61727,                 1.0623,              0.0008384,              0.0008384,              0.0008384
