                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.99916,                0.30608,                0.18893,                0.82527,                 1.0917,                0.83385,                0.87838,                0.90576,                 0.6805,                0.90066,                0.85764,                0.93376,                0.89536,                  1.029,                0.79254,                0.07749,                 0.7554,                 1.1132,              0.0014588,              0.0014588,              0.0014588
                     43,                0.96641,                0.30095,                0.16211,                0.80443,                 1.0609,                0.88872,                0.82432,                0.91354,                0.66276,                0.91874,                0.85135,                0.93734,                0.90377,                 1.1229,                0.65462,                0.07886,                0.78236,                 1.1464,              0.0014456,              0.0014456,              0.0014456
                     44,                0.97274,                0.29512,                0.17022,                0.80085,                 1.0875,                0.90174,                0.86486,                 0.9395,                0.67814,                0.88765,                0.85135,                0.92441,                0.90406,                 1.0396,                0.61703,                0.05671,                0.68366,                 1.1209,              0.0014324,              0.0014324,              0.0014324
                     45,                 0.9558,                0.27571,                0.15304,                0.80093,                   1.07,                0.91486,                0.87127,                0.92509,                0.67529,                0.93978,                0.91892,                0.96032,                0.92329,                 1.0419,                0.53238,                0.07797,                0.69146,                 1.0952,              0.0014192,              0.0014192,              0.0014192
                     46,                0.95086,                0.28974,                 0.1615,                0.75896,                 1.0506,                0.88339,                0.85135,                0.88654,                  0.659,                0.92817,                0.87317,                0.92577,                0.89621,                 1.1405,                0.68441,                0.12129,                0.76426,                 1.1348,               0.001406,               0.001406,               0.001406
                     47,                0.96619,                0.33862,                0.18352,                0.80549,                  1.076,                0.90392,                0.85135,                0.92432,                0.66407,                0.93343,                0.87838,                0.95465,                0.91202,                 1.0829,                0.54332,                 0.0602,                0.72974,                 1.1247,              0.0013928,              0.0013928,              0.0013928
                     48,                0.97484,                0.36053,                0.17027,                 0.7621,                 1.0572,                0.95553,                0.87122,                0.95368,                0.67505,                0.94075,                0.85833,                0.93097,                0.89608,                 1.1181,                0.72324,                0.08665,                0.73293,                  1.105,              0.0013796,              0.0013796,              0.0013796
                     49,                 0.9593,                0.25172,                0.14372,                0.80541,                 1.0633,                0.96835,                0.87838,                0.94329,                0.69409,                0.95444,                0.84923,                0.94131,                0.91425,                0.97822,                0.64834,                0.04675,                0.66102,                 1.0541,              0.0013664,              0.0013664,              0.0013664
                     50,                 0.9477,                0.31494,                0.15003,                0.80624,                 1.0763,                0.92756,                0.86518,                0.94239,                0.69976,                0.92208,                0.89189,                0.95585,                0.92416,                 1.0402,                0.71086,                0.09453,                0.69265,                 1.0768,              0.0013532,              0.0013532,              0.0013532
                     51,                0.92657,                0.26664,                0.12963,                0.77658,                 1.0567,                0.91124,                0.77027,                0.90137,                0.65012,                0.90257,                0.87637,                0.92637,                0.88631,                 1.0851,                0.77335,                0.04069,                0.72627,                 1.1002,                0.00134,                0.00134,                0.00134
                     52,                0.91608,                0.29232,                0.15809,                0.77827,                 1.0539,                0.88533,                0.89189,                 0.9259,                 0.6653,                0.92587,                0.89189,                0.95134,                0.92331,                 1.0538,                0.61676,                 0.1236,                0.65743,                 1.1325,              0.0013268,              0.0013268,              0.0013268
                     53,                 0.9374,                0.26552,                0.13508,                0.75826,                 1.0503,                0.83492,                0.87838,                0.91522,                0.64967,                0.81667,                0.90297,                0.92894,                0.89115,                 1.0269,                0.66603,                0.07572,                0.71499,                 1.1147,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.9073,                0.31545,                0.15257,                0.72944,                 1.0527,                0.93272,                0.87838,                0.94965,                0.66991,                0.93634,                0.86486,                0.94233,                0.90561,                 1.0404,                0.63214,                0.10849,                0.65771,                 1.0658,              0.0013004,              0.0013004,              0.0013004
                     55,                 0.9246,                0.25638,                0.13884,                0.74463,                 1.0573,                0.91454,                 0.8677,                0.93386,                0.67359,                 0.9286,                 0.8787,                0.94889,                0.92261,                 1.0086,                 0.4445,                0.07944,                0.66975,                 1.0997,              0.0012872,              0.0012872,              0.0012872
                     56,                0.86697,                0.25116,                0.12007,                 0.7234,                  1.023,                0.93342,                0.87838,                0.92491,                0.68285,                0.97517,                0.90541,                0.96383,                0.93193,                 1.0211,                0.41763,                0.07934,                0.61744,                 1.1023,               0.001274,               0.001274,               0.001274
                     57,                0.88403,                0.29595,                 0.1394,                0.73671,                 1.0359,                0.97297,                0.85135,                0.95181,                0.69241,                0.98865,                0.86486,                 0.9688,                0.93697,                0.99545,                0.37305,                0.09226,                0.66621,                  1.086,              0.0012608,              0.0012608,              0.0012608
