epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,856.03,1.34705,0.68275,1.19504,0.99425,0.98906,0.99497,0.69057,1.14512,0.51852,1.11269,0.000533773,0.000533773,0.000533773
105,864.313,1.37883,0.69648,1.18636,0.97913,0.98427,0.99459,0.68251,1.17229,0.57382,1.12607,0.000522771,0.000522771,0.000522771
106,871.764,1.33308,0.68882,1.17185,0.99181,0.98003,0.99428,0.70355,1.19378,0.53577,1.13089,0.000511769,0.000511769,0.000511769
107,879.828,1.37293,0.69209,1.20367,0.96168,0.98003,0.99222,0.71167,1.15627,0.52036,1.11614,0.000500767,0.000500767,0.000500767
108,888.024,1.32522,0.66625,1.17886,0.96742,0.99727,0.99392,0.69832,1.18474,0.53888,1.12788,0.000489765,0.000489765,0.000489765
109,895.378,1.34964,0.67351,1.18111,0.99358,0.98634,0.99452,0.70994,1.15004,0.55638,1.1262,0.000478762,0.000478762,0.000478762
110,903.837,1.37116,0.70958,1.20312,0.95929,0.99454,0.99274,0.71898,1.14616,0.53764,1.12096,0.00046776,0.00046776,0.00046776
111,911.547,1.35751,0.68175,1.18484,0.98678,0.9527,0.99282,0.69369,1.18145,0.54698,1.13646,0.000456758,0.000456758,0.000456758
112,919.358,1.33604,0.67475,1.1893,0.98148,0.97496,0.99401,0.69685,1.16321,0.53191,1.12375,0.000445756,0.000445756,0.000445756
113,927.641,1.35005,0.68379,1.19995,0.99412,0.9713,0.99434,0.7041,1.14713,0.52442,1.11714,0.000434754,0.000434754,0.000434754
114,935.041,1.30723,0.66337,1.176,0.98607,0.97693,0.9936,0.70211,1.15478,0.52595,1.11859,0.000423751,0.000423751,0.000423751
115,943.445,1.33682,0.66974,1.17485,0.97033,0.9795,0.99395,0.69963,1.15263,0.52768,1.11818,0.000412749,0.000412749,0.000412749
116,951.085,1.3471,0.67299,1.17738,0.98915,0.97491,0.993,0.71016,1.15898,0.5367,1.11679,0.000401747,0.000401747,0.000401747
117,958.935,1.36707,0.68381,1.18923,0.9944,0.99663,0.99492,0.71669,1.12573,0.51274,1.10685,0.000390745,0.000390745,0.000390745
118,967.209,1.35674,0.67435,1.17995,0.98692,0.9609,0.993,0.69811,1.15858,0.52135,1.12502,0.000379743,0.000379743,0.000379743
119,974.567,1.32812,0.67069,1.17807,0.97811,0.97729,0.99398,0.71123,1.16696,0.53007,1.12226,0.00036874,0.00036874,0.00036874
120,982.923,1.31315,0.65949,1.17482,0.98558,0.97893,0.99445,0.70248,1.15493,0.518,1.11722,0.000357738,0.000357738,0.000357738
121,990.89,1.33375,0.67186,1.19176,0.98773,0.97121,0.99351,0.69943,1.15958,0.52186,1.1195,0.000346736,0.000346736,0.000346736
